number,name,red,green,blue,hex,similar
223,Shell Pink - Light,204.0,132.0,124.0,cc847c,"['3778', '3064', '3859', '961', '316', '612', '422', '3687', '3045', '962']"
224,Shell Pink - Very Light,235.0,183.0,175.0,ebb7af,"['3771', '760', '3688', '778', '3354', '957', '3326', '613', '776', '3727']"
225,Shell Pink - Ultra Very Light,255.0,223.0,213.0,ffdfd5,"['967', '818', '951', '963', '948', '353', '3774', '3713', '543', '739']"
300,Mahogany - Very Dark,111.0,47.0,0.0,6f2f00,"['918', '801', '3857', '433', '400', '3777', '898', '975', '814', '815']"
301,Mahogany - Medium,179.0,95.0,43.0,b35f2b,"['3826', '781', '920', '782', '921', '3830', '434', '420', '780', '435']"
304,Red - Medium,183.0,31.0,51.0,b71f33,"['347', '321', '498', '3831', '349', '817', '326', '150', '816', '3803']"
307,Lemon,253.0,237.0,84.0,fded54,"['726', '3819', '725', '743', '742', '3821', '445', '907', '3827', '744']"
309,Rose - Dark,214.0,43.0,91.0,d62b5b,"['600', '601', '3804', '666', '321', '350', '3801', '3350', '3831', '602']"
310,Black,0.0,0.0,0.0,000000,"['3371', '938', '934', '890', '898', '895', '500', '3345', '939', '699']"
311,Blue - Medium,28.0,80.0,102.0,1c5066,"['796', '336', '797', '803', '3750', '820', '823', '3808', '3842', '909']"
312,Baby Blue - Very Dark,53.0,102.0,139.0,35668b,"['824', '3842', '517', '798', '803', '3809', '3765', '3808', '3847', '930']"
315,Antique Mauve - Medium Dark,129.0,73.0,82.0,814952,"['221', '3802', '3860', '3740', '3834', '610', '777', '3858', '632', '552']"
316,Antique Mauve - Medium,183.0,115.0,127.0,b7737f,"['3859', '3687', '961', '3861', '223', '553', '3722', '407', '3064', '3041']"
317,Pewter Gray,108.0,108.0,108.0,6c6c6c,"['645', '924', '535', '3740', '3768', '520', '3790', '3860', '640', '333']"
318,Steel Gray - Light,171.0,171.0,171.0,ababab,"['647', '3042', '648', '926', '523', '3023', '452', '160', '340', '3817']"
319,Pistachio Green - Very Dark,32.0,95.0,46.0,205f2e,"['3818', '890', '3345', '561', '909', '500', '986', '3346', '699', '700']"
320,Pistachio Green - Medium,105.0,136.0,90.0,69885a,"['988', '3363', '3347', '367', '502', '163', '520', '3364', '562', '469']"
321,Red,199.0,43.0,59.0,c72b3b,"['347', '304', '3831', '349', '326', '666', '309', '3803', '350', '600']"
322,Baby Blue,90.0,143.0,184.0,5a8fb8,"['518', '597', '826', '799', '807', '825', '334', '931', '3810', '806']"
326,Rose - Very Dark,179.0,59.0,75.0,b33b4b,"['3831', '3803', '3721', '3830', '3350', '321', '3858', '777', '347', '355']"
327,Violet,99.0,54.0,102.0,633666,"['3837', '3834', '552', '791', '3802', '333', '158', '413', '550', '779']"
333,Blue Violet - Very Dark,92.0,84.0,120.0,5c5478,"['792', '158', '930', '924', '3807', '317', '3837', '791', '413', '327']"
334,Baby Blue - Medium,115.0,159.0,193.0,739fc1,"['826', '799', '807', '519', '597', '794', '3839', '322', '809', '992']"
335,Rose,238.0,84.0,110.0,ee546e,"['3801', '891', '602', '3832', '351', '3328', '3805', '3731', '350', '899']"
336,Blue,37.0,59.0,115.0,253b73,"['823', '796', '797', '311', '803', '820', '3750', '791', '939', '158']"
340,Blue Violet - Medium,173.0,167.0,199.0,ada7c7,"['156', '932', '210', '809', '160', '318', '3755', '3840', '794', '926']"
