number,name,red,green,blue,hex,similar
781,Topaz - Very Dark,162.0,109.0,32.0,a26d20,"['782', '780', '301', '434', '3826', '920', '420', '3829', '975', '730']"
782,Topaz - Dark,174.0,119.0,32.0,ae7720,"['781', '3826', '301', '3829', '680', '921', '780', '920', '420', '434']"
783,Topaz - Medium,206.0,145.0,36.0,ce9124,"['3852', '680', '3776', '729', '976', '922', '782', '970', '436', '832']"
791,Cornflower Blue - Very Dark,70.0,69.0,99.0,464563,"['3750', '158', '413', '930', '844', '327', '3799', '333', '3021', '792']"
792,Cornflower Blue - Dark,85.0,91.0,123.0,555b7b,"['333', '158', '930', '924', '3807', '798', '317', '824', '3838', '3808']"
793,Cornflower Blue - Medium,112.0,125.0,162.0,707da2,"['161', '931', '3746', '3839', '799', '3838', '3807', '322', '169', '3768']"
794,Cornflower Blue - Light,143.0,156.0,193.0,8f9cc1,"['809', '160', '155', '3755', '926', '519', '334', '156', '932', '799']"
796,Royal Blue - Dark,17.0,65.0,109.0,11416d,"['797', '311', '820', '336', '823', '939', '803', '3750', '3842', '791']"
797,Royal Blue,19.0,71.0,125.0,13477d,"['796', '336', '311', '803', '823', '820', '3842', '312', '3750', '3808']"
798,Delft Blue - Dark,70.0,106.0,142.0,466a8e,"['824', '517', '312', '3809', '3838', '3807', '3842', '3765', '792', '930']"
799,Delft Blue - Medium,116.0,142.0,182.0,748eb6,"['3839', '334', '826', '161', '322', '793', '931', '794', '597', '807']"
800,Delft Blue - Pale,192.0,204.0,222.0,c0ccde,"['3752', '159', '157', '3325', '341', '927', '3840', '415', '168', '827']"
801,Coffee Brown - Dark,101.0,57.0,25.0,653919,"['3857', '433', '300', '3031', '898', '918', '3777', '838', '154', '935']"
803,Blue - Deep,44.0,89.0,124.0,2c597c,"['3842', '312', '3808', '824', '930', '311', '797', '336', '3750', '158']"
806,Peacock Blue - Dark,61.0,149.0,165.0,3d95a5,"['3760', '3810', '518', '825', '995', '3848', '3851', '943', '958', '3765']"
807,Peacock Blue,100.0,171.0,186.0,64abba,"['597', '826', '334', '992', '3849', '322', '519', '959', '799', '518']"
809,Delft Blue,148.0,168.0,198.0,94a8c6,"['794', '3755', '160', '932', '156', '519', '340', '926', '598', '155']"
813,Blue - Light,161.0,194.0,215.0,a1c2d7,"['3766', '3840', '598', '156', '932', '3755', '341', '157', '3761', '927']"
814,Garnet - Dark,123.0,0.0,27.0,7b001b,"['815', '816', '3685', '915', '3857', '902', '3777', '498', '918', '300']"
815,Garnet - Medium,135.0,7.0,31.0,87071f,"['814', '816', '3685', '498', '915', '902', '3777', '3857', '918', '817']"
816,Garnet,151.0,11.0,35.0,970b23,"['815', '498', '3685', '814', '817', '902', '915', '3777', '304', '150']"
817,Coral Red - Very Dark,187.0,5.0,31.0,bb051f,"['498', '304', '349', '816', '347', '150', '321', '815', '3685', '666']"
818,Baby Pink,255.0,223.0,217.0,ffdfd9,"['225', '967', '948', '963', '3713', '951', '3774', '353', '543', '3770']"
819,Baby Pink - Light,255.0,238.0,235.0,ffeeeb,"['3770', '3866', '3865', '712', '746', '3713', '3823', '948', 'White', '762']"
820,Royal Blue - Very Dark,14.0,54.0,92.0,0e365c,"['796', '939', '823', '311', '336', '797', '3750', '500', '3818', '803']"
822,Beige Gray - Light,231.0,226.0,211.0,e7e2d3,"['772', '543', '3774', '3033', 'Ecru', '644', '928', '677', '739', '369']"
823,Blue - Dark,33.0,48.0,99.0,213063,"['939', '336', '820', '796', '311', '3750', '797', '791', '803', '3799']"
824,Blue - Very Dark,57.0,105.0,135.0,396987,"['312', '3842', '798', '517', '3809', '3765', '3808', '803', '3847', '930']"
825,Blue - Dark,71.0,129.0,165.0,4781a5,"['3760', '3810', '518', '806', '517', '3848', '322', '3838', '3765', '798']"
826,Blue - Medium,107.0,158.0,191.0,6b9ebf,"['334', '807', '799', '597', '322', '519', '3839', '992', '794', '518']"
827,Blue - Very Light,189.0,221.0,237.0,bddded,"['3811', '828', '3325', '3841', '3761', '3747', '800', '3752', '964', '3753']"
828,Blue - Ultra Very Light,197.0,232.0,237.0,c5e8ed,"['3841', '3811', '827', '775', '3747', '3753', '162', '928', '3325', '3752']"
829,Golden Olive - Very Dark,126.0,107.0,66.0,7e6b42,"['610', '869', '3862', '3790', '830', '730', '3860', '632', '520', '3781']"
830,Golden Olive - Dark,141.0,120.0,75.0,8d784b,"['3862', '611', '840', '829', '3790', '420', '3011', '3772', '640', '167']"
831,Golden Olive - Medium,170.0,143.0,86.0,aa8f56,"['3863', '3828', '832', '167', '370', '407', '3012', '840', '3045', '3773']"
832,Golden Olive,189.0,155.0,81.0,bd9b51,"['436', '370', '831', '3828', '733', '3045', '3012', '729', '976', '3852']"
833,Golden Olive - Light,200.0,171.0,108.0,c8ab6c,"['371', '422', '370', '734', '612', '3045', '372', '3820', '3064', '728']"
834,Golden Olive - Very Light,219.0,190.0,127.0,dbbe7f,"['372', '437', '734', '728', '3046', '3827', '3821', '676', '833', '3820']"
838,Beige Brown - Very Dark,89.0,73.0,55.0,594937,"['3021', '779', '839', '3031', '844', '3781', '936', '3799', '986', '3802']"
839,Beige Brown - Dark,103.0,85.0,65.0,675541,"['3781', '779', '3787', '3051', '838', '610', '3802', '3362', '3021', '413']"
840,Beige Brown - Medium,154.0,124.0,92.0,9a7c5c,"['611', '3863', '3772', '640', '830', '3011', '167', '451', '3862', '831']"
841,Beige Brown - Light,182.0,155.0,126.0,b69b7e,"['612', '3032', '3859', '422', '642', '371', '3045', '3064', '3861', '370']"
842,Beige Brown - Very Light,209.0,186.0,161.0,d1baa1,"['3782', '3864', '3046', '613', '452', '648', '524', '3727', '437', '372']"
844,Beaver Gray - Ultra Dark,72.0,72.0,72.0,484848,"['3021', '3799', '838', '413', '779', '986', '791', '3750', '3031', '839']"
868,Hazel Nut Brown,,,,,
869,Hazelnut Brown - Very Dark,131.0,94.0,57.0,835e39,"['632', '829', '610', '434', '3781', '3862', '3858', '730', '839', '3860']"
890,Pistachio Green - Ultra Dark,23.0,73.0,35.0,174923,"['3345', '500', '319', '3818', '934', '699', '895', '935', '986', '700']"
891,Carnation - Dark,255.0,87.0,115.0,ff5773,"['335', '3801', '3805', '351', '602', '3328', '3832', '899', '892', '3731']"
892,Carnation - Medium,255.0,121.0,140.0,ff798c,"['3705', '899', '3712', '956', '3833', '962', '3340', '3733', '893', '352']"
893,Carnation - Light,252.0,144.0,162.0,fc90a2,"['3806', '352', '956', '3833', '3733', '3705', '3341', '758', '3712', '760']"
894,Carnation - Very Light,255.0,178.0,187.0,ffb2bb,"['604', '776', '3706', '957', '3326', '3716', '603', '3689', '760', '605']"
895,Hunter Green - Very Dark,27.0,83.0,0.0,1b5300,"['3345', '699', '890', '934', '700', '319', '935', '500', '938', '3818']"
898,Coffee Brown - Very Dark,73.0,42.0,19.0,492a13,"['938', '934', '3031', '3857', '801', '154', '935', '300', '936', '838']"
899,Rose - Medium,242.0,118.0,136.0,f27688,"['892', '3705', '3712', '962', '3833', '3733', '3731', '3340', '956', '3328']"
900,Burnt Orange - Dark,209.0,88.0,7.0,d15807,"['921', '946', '720', '920', '922', '301', '919', '782', '971', '606']"
902,Garnet - Very Dark,130.0,38.0,55.0,822637,"['3685', '3777', '777', '221', '3802', '355', '3857', '815', '816', '915']"
904,Parrot Green - Very Dark,85.0,120.0,34.0,557822,"['937', '905', '987', '701', '936', '3346', '3362', '469', '3051', '986']"
905,Parrot Green - Dark,98.0,138.0,40.0,628a28,"['904', '469', '937', '701', '730', '987', '580', '702', '3362', '367']"
906,Parrot Green - Medium,127.0,179.0,53.0,7fb335,"['703', '470', '580', '581', '704', '732', '731', '469', '3364', '905']"
907,Parrot Green - Light,199.0,230.0,102.0,c7e666,"['3819', '734', '166', '471', '834', '3821', '472', '3820', '3013', '372']"
909,Emerald Green - Very Dark,21.0,111.0,73.0,156f49,"['910', '561', '3818', '319', '501', '311', '911', '505', '500', '3346']"
910,Emerald Green - Dark,24.0,126.0,86.0,187e56,"['909', '911', '505', '561', '501', '912', '3847', '3808', '3818', '3850']"
911,Emerald Green - Medium,24.0,144.0,101.0,189065,"['912', '910', '505', '3847', '3850', '3812', '909', '943', '501', '3808']"
912,Emerald Green - Light,27.0,157.0,107.0,1b9d6b,"['911', '3812', '505', '910', '3850', '3847', '943', '3765', '3809', '991']"
913,Nile Green - Medium,109.0,171.0,119.0,6dab77,"['3816', '503', '989', '502', '562', '3347', '3364', '3052', '992', '954']"
915,Plum - Dark,130.0,0.0,67.0,820043,"['3685', '815', '917', '816', '902', '814', '150', '550', '498', '718']"
917,Plum - Medium,155.0,19.0,89.0,9b1359,"['718', '150', '3803', '915', '777', '3831', '3685', '902', '498', '326']"
918,Red Copper - Dark,130.0,52.0,10.0,82340a,"['400', '300', '3777', '433', '975', '801', '3857', '919', '902', '815']"
919,Red Copper,166.0,69.0,16.0,a64510,"['920', '400', '975', '780', '301', '918', '355', '3777', '781', '921']"
920,Copper - Medium,172.0,84.0,20.0,ac5414,"['919', '301', '975', '780', '781', '921', '400', '782', '434', '900']"
921,Copper,198.0,98.0,24.0,c66218,"['900', '301', '920', '720', '782', '922', '781', '946', '3776', '919']"
922,Copper - Light,226.0,115.0,35.0,e27323,"['720', '3776', '946', '921', '721', '970', '783', '608', '971', '900']"
924,Gray Green - Very Dark,86.0,106.0,106.0,566a6a,"['317', '792', '535', '991', '930', '3815', '158', '333', '163', '645']"
926,Gray Green - Medium,152.0,174.0,174.0,98aeae,"['160', '318', '993', '3817', '809', '932', '794', '563', '523', '155']"
927,Gray Green - Light,189.0,203.0,203.0,bdcbcb,"['159', '157', '966', '800', '3752', '3813', '504', '168', '341', '3840']"
928,Gray Green - Very Light,221.0,227.0,227.0,dde3e3,"['3753', '3072', '3024', '775', '3747', '772', '822', '3841', '762', '162']"
930,Antique Blue - Dark,69.0,92.0,113.0,455c71,"['158', '792', '3808', '924', '3842', '333', '791', '803', '3750', '824']"
931,Antique Blue - Medium,106.0,133.0,158.0,6a859e,"['793', '161', '3839', '3838', '799', '3848', '3746', '518', '3768', '322']"
932,Antique Blue - Light,162.0,181.0,198.0,a2b5c6,"['156', '3755', '340', '809', '813', '598', '3840', '926', '993', '160']"
934,Avocado Green - BLACK,49.0,57.0,25.0,313919,"['935', '938', '898', '3031', '890', '986', '3345', '895', '936', '3799']"
935,Avocado Green - Dark,66.0,77.0,33.0,424d21,"['936', '986', '3031', '934', '838', '3021', '3799', '3346', '898', '844']"
936,Avocado Green - Very Dark,76.0,88.0,38.0,4c5826,"['935', '986', '838', '3031', '3346', '3021', '904', '937', '3799', '844']"
937,Avocado Green - Medium,98.0,113.0,51.0,627133,"['987', '3362', '904', '3051', '469', '905', '520', '839', '3781', '367']"
938,Coffee Brown - Ultra Dark,54.0,31.0,14.0,361f0e,"['898', '3371', '934', '3031', '154', '935', '3857', '801', '890', '895']"
939,Blue - Very Dark,27.0,40.0,83.0,1b2853,"['823', '820', '796', '336', '311', '3750', '3799', '797', '500', '791']"
943,Aquamarine - Medium,61.0,147.0,132.0,3d9384,"['3812', '3850', '3814', '3809', '3765', '3810', '3848', '3847', '517', '806']"
945,Tawny,251.0,213.0,187.0,fbd5bb,"['3856', '3824', '754', '950', '3779', '353', '761', '739', '3047', '3689']"
946,Burnt Orange - Medium,235.0,99.0,7.0,eb6307,"['720', '900', '971', '922', '921', '970', '740', '608', '606', '3776']"
947,Burnt Orange,255.0,123.0,77.0,ff7b4d,"['721', '3853', '3340', '351', '608', '722', '3328', '977', '922', '3776']"
948,Peach - Very Light,254.0,231.0,218.0,fee7da,"['818', '225', '3713', '967', '3770', '951', '3774', 'Ecru', '963', '543']"
950,Desert Sand - Light,238.0,211.0,196.0,eed3c4,"['3047', '754', '3779', '3033', '945', '151', '3824', '353', '644', '543']"
951,Tawny - Light,255.0,226.0,207.0,ffe2cf,"['225', '967', '739', '818', '353', '948', '543', '963', '3774', '677']"
954,Nile Green,136.0,186.0,145.0,88ba91,"['563', '503', '992', '3817', '368', '3053', '989', '926', '993', '522']"
955,Nile Green - Light,162.0,214.0,173.0,a2d6ad,"['564', '3817', '3813', '368', '993', '966', '524', '563', '164', '598']"
956,Geranium,255.0,145.0,145.0,ff9191,"['352', '893', '3712', '3705', '892', '3833', '962', '3733', '3341', '3806']"
957,Geranium - Pale,253.0,181.0,181.0,fdb5b5,"['776', '894', '3326', '604', '3706', '3716', '760', '3771', '3689', '224']"
958,Seagreen - Dark,62.0,182.0,161.0,3eb6a1,"['3851', '3849', '806', '959', '597', '518', '3810', '3848', '995', '943']"
959,Seagreen - Medium,89.0,199.0,180.0,59c7b4,"['3849', '807', '3851', '597', '958', '992', '826', '519', '334', '503']"
961,Dusty Rose - Dark,207.0,115.0,115.0,cf7373,"['3687', '223', '3328', '3731', '3778', '3722', '316', '356', '3064', '351']"
962,Dusty Rose - Medium,230.0,138.0,138.0,e68a8a,"['3712', '3833', '3733', '3778', '899', '956', '152', '223', '892', '3705']"
963,Dusty Rose - Ultra Very Light,255.0,215.0,215.0,ffd7d7,"['967', '818', '225', '353', '3708', '951', '3713', '3774', '948', '151']"
964,Seagreen - Light,169.0,226.0,216.0,a9e2d8,"['3761', '3811', '3766', '3325', '827', '504', '966', '3813', '800', '813']"
966,Baby Green - Medium,185.0,215.0,192.0,b9d7c0,"['3813', '927', '164', '504', '3348', '524', '564', '955', '159', '168']"
967,Peach - Light,255.0,222.0,213.0,ffded5,"['225', '818', '951', '963', '948', '353', '3774', '3713', '543', '739']"
970,Pumpkin - Light,247.0,139.0,19.0,f78b13,"['740', '971', '741', '922', '972', '946', '783', '721', '720', '3853']"
971,Pumpkin,246.0,127.0,0.0,f67f00,"['740', '970', '946', '922', '720', '900', '783', '741', '972', '921']"
972,Canary - Deep,255.0,181.0,21.0,ffb515,"['741', '444', '970', '740', '725', '973', '971', '3853', '783', '729']"
973,Canary - Bright,255.0,227.0,0.0,ffe300,"['444', '972', '725', '741', '307', '726', '740', '970', '166', '742']"
974,Winnie The Pooh Gold 2,,,,,
975,Golden Brown - Dark,145.0,79.0,18.0,914f12,"['400', '780', '919', '920', '433', '918', '3777', '434', '781', '355']"
976,Golden Brown - Medium,194.0,129.0,66.0,c28142,"['435', '3776', '436', '3773', '3826', '167', '832', '407', '3852', '356']"
977,Golden Brown - Light,220.0,156.0,86.0,dc9c56,"['436', '3853', '3820', '729', '728', '832', '833', '3854', '3852', '722']"
986,Forest Green - Very Dark,64.0,82.0,48.0,405230,"['935', '936', '3021', '3799', '3031', '3346', '844', '838', '319', '934']"
987,Forest Green - Dark,88.0,113.0,65.0,587141,"['3362', '3051', '937', '520', '367', '3346', '3787', '535', '3815', '839']"
988,Forest Green - Medium,115.0,139.0,91.0,738b5b,"['3347', '3363', '320', '3364', '3011', '640', '3052', '367', '469', '502']"
989,Forest Green,141.0,166.0,117.0,8da675,"['522', '3053', '3022', '3052', '642', '3364', '913', '3012', '414', '954']"
991,Aquamarine - Dark,71.0,123.0,110.0,477b6e,"['163', '3847', '3850', '3815', '924', '3814', '3809', '505', '3808', '502']"
992,Aquamarine - Light,111.0,174.0,159.0,6fae9f,"['503', '807', '3849', '597', '954', '826', '3839', '3816', '563', '334']"
993,Aquamarine - Very Light,144.0,192.0,180.0,90c0b4,"['3817', '926', '598', '564', '932', '563', '3755', '955', '809', '519']"
995,Electric Blue - Dark,38.0,150.0,182.0,2696b6,"['806', '3844', '3760', '3843', '825', '518', '3810', '958', '3765', '3851']"
996,Electric Blue - Medium,48.0,194.0,236.0,30c2ec,"['3843', '3846', '3845', '3844', '959', '995', '807', '958', '597', '3851']"
3011,Khaki Green - Dark,137.0,138.0,88.0,898a58,"['3364', '3052', '640', '988', '840', '830', '611', '3363', '3347', '3863']"
3012,Khaki Green - Medium,166.0,167.0,93.0,a6a75d,"['370', '470', '831', '832', '733', '3045', '642', '371', '3828', '989']"
3013,Khaki Green - Light,185.0,185.0,130.0,b9b982,"['471', '734', '372', '371', '523', '3023', '3032', '422', '833', '841']"
3021,Brown Gray - Very Dark,79.0,75.0,65.0,4f4b41,"['844', '838', '3799', '779', '986', '413', '839', '3031', '936', '3787']"
3022,Brown Gray - Medium,142.0,144.0,120.0,8e9078,"['522', '3052', '169', '414', '646', '451', '989', '642', '3053', '3861']"
3023,Brown Gray - Light,177.0,170.0,151.0,b1aa97,"['647', '523', '3032', '318', '3042', '648', '368', '3013', '452', '3864']"
3024,Brown Gray - Very Light,235.0,234.0,231.0,ebeae7,"['3072', '762', 'Ecru', '928', '3753', '3774', '772', '775', '3770', '819']"
3031,Mocha Brown - Very Dark,75.0,60.0,42.0,4b3c2a,"['935', '838', '986', '3799', '3021', '936', '154', '898', '801', '934']"
3032,Mocha Brown - Medium,179.0,159.0,139.0,b39f8b,"['841', '3023', '647', '612', '523', '422', '642', '3053', '3859', '3013']"
3033,Mocha Brown - Very Light,227.0,216.0,204.0,e3d8cc,"['644', '3047', '822', '950', '453', '153', '151', '543', '3743', '415']"
3041,Antique Violet - Medium,149.0,111.0,124.0,956f7c,"['451', '3835', '646', '553', '169', '3726', '3861', '208', '640', '3022']"
3042,Antique Violet - Light,183.0,157.0,167.0,b79da7,"['3836', '647', '318', '3023', '648', '452', '523', '3032', '210', '3864']"
3045,Yellow Beige - Dark,188.0,150.0,106.0,bc966a,"['370', '3064', '612', '3828', '371', '3859', '841', '422', '407', '833']"
3046,Yellow Beige - Medium,216.0,188.0,154.0,d8bc9a,"['842', '3782', '3864', '437', '613', '676', '372', '738', '834', '758']"
3047,Yellow Beige - Light,231.0,214.0,193.0,e7d6c1,"['950', '3033', '644', '754', '453', '945', '543', '822', '3779', '151']"
3051,Green Gray - Dark,95.0,102.0,72.0,5f6648,"['3362', '520', '3787', '987', '535', '3781', '839', '367', '413', '937']"
3052,Green Gray - Medium,136.0,146.0,104.0,889268,"['3364', '3022', '3011', '646', '640', '989', '988', '3347', '451', '522']"
3053,Green Gray,156.0,164.0,130.0,9ca482,"['522', '642', '989', '3032', '3022', '841', '523', '3861', '3023', '414']"
3064,Desert Sand,196.0,142.0,112.0,c48e70,"['3045', '3859', '612', '223', '3828', '422', '407', '370', '3778', '841']"
3072,Beaver Gray - Very Light,230.0,232.0,232.0,e6e8e8,"['3024', '762', '928', '3753', '775', 'Ecru', '162', '772', '822', '3774']"
3078,Golden Yellow - Very Light,253.0,249.0,205.0,fdf9cd,"['677', '739', '948', '3823', '951', 'Ecru', '543', '3770', '225', '3774']"
3325,Baby Blue - Light,184.0,210.0,230.0,b8d2e6,"['800', '827', '3761', '3811', '3752', '157', '341', '159', '3840', '3841']"
3326,Rose - Light,251.0,173.0,180.0,fbadb4,"['776', '957', '3706', '760', '894', '604', '603', '3716', '3771', '224']"
3328,Salmon - Dark,227.0,109.0,109.0,e36d6d,"['351', '961', '3731', '3832', '3687', '335', '3778', '899', '356', '3340']"
3340,Apricot - Medium,255.0,131.0,111.0,ff836f,"['722', '3712', '892', '899', '351', '947', '3328', '3705', '956', '962']"
3341,Apricot,252.0,171.0,152.0,fcab98,"['758', '352', '3825', '760', '3771', '956', '3326', '152', '893', '3688']"
3345,Hunter Green - Dark,27.0,89.0,21.0,1b5915,"['890', '895', '699', '319', '700', '934', '3818', '500', '935', '986']"
3346,Hunter Green,64.0,106.0,58.0,406a3a,"['561', '501', '987', '986', '936', '3362', '3051', '3815', '904', '3021']"
3347,Yellow Green - Medium,113.0,147.0,92.0,71935c,"['988', '320', '3363', '3364', '3011', '3052', '502', '367', '640', '562']"
3348,Yellow Green - Light,204.0,217.0,177.0,ccd9b1,"['164', '524', '966', '613', '504', '3813', '472', '453', '644', '3047']"
3350,Dusty Rose - Ultra Dark,188.0,67.0,101.0,bc4365,"['600', '3803', '326', '3721', '601', '3831', '309', '3832', '3607', '3830']"
3354,Dusty Rose - Light,228.0,166.0,172.0,e4a6ac,"['3688', '3727', '760', '224', '152', '758', '778', '3326', '3771', '3608']"
3362,Pine Green - Dark,94.0,107.0,71.0,5e6b47,"['3051', '987', '520', '3787', '367', '535', '937', '3781', '839', '413']"
3363,Pine Green - Medium,114.0,130.0,86.0,728256,"['988', '320', '3347', '367', '640', '3011', '520', '469', '3790', '3364']"
3364,Pine Green,131.0,151.0,95.0,83975f,"['3052', '3011', '3347', '988', '640', '3022', '989', '3363', '320', '470']"
3371,Black Brown,30.0,17.0,8.0,1e1108,"['938', '310', '934', '898', '890', '895', '3031', '3345', '154', '935']"
3607,Plum - Light,197.0,73.0,137.0,c54989,"['602', '3832', '3731', '3350', '3687', '553', '316', '3805', '3804', '600']"
3608,Plum - Very Light,234.0,156.0,196.0,ea9cc4,"['603', '3354', '3609', '3727', '778', '3688', '3706', '554', '3326', '776']"
3609,Plum - Ultra Light,244.0,174.0,213.0,f4aed5,"['605', '604', '3689', '3608', '3706', '554', '603', '894', '776', '3716']"
3684,Garnet - Extremely Dark,,,,,
3685,Mauve - Very Dark,136.0,21.0,49.0,881531,"['902', '816', '815', '915', '3777', '498', '814', '777', '3857', '917']"
3687,Mauve,201.0,107.0,112.0,c96b70,"['961', '3722', '356', '316', '3731', '3328', '223', '3832', '407', '351']"
3688,Mauve - Medium,231.0,169.0,172.0,e7a9ac,"['3354', '3727', '760', '224', '758', '778', '152', '3326', '3771', '776']"
3689,Mauve - Light,251.0,191.0,194.0,fbbfc2,"['3716', '605', '761', '3779', '754', '3824', '894', '604', '957', '776']"
3705,Melon - Dark,255.0,121.0,146.0,ff7992,"['892', '899', '3712', '956', '3833', '893', '3733', '962', '3806', '352']"
3706,Melon - Medium,255.0,173.0,188.0,ffadbc,"['604', '894', '776', '3326', '603', '957', '3716', '760', '3689', '605']"
3708,Melon - Light,255.0,203.0,213.0,ffcbd5,"['761', '963', '605', '3779', '353', '151', '967', '3824', '225', '818']"
3712,Salmon - Medium,241.0,135.0,135.0,f18787,"['962', '899', '3833', '956', '892', '3733', '3705', '3340', '3778', '352']"
3713,Salmon - Very Light,255.0,226.0,226.0,ffe2e2,"['818', '948', '3770', '225', '967', '819', '963', '3774', 'Ecru', '951']"
3716,Dusty Rose - Very Light,255.0,189.0,189.0,ffbdbd,"['3689', '894', '957', '604', '776', '3706', '754', '605', '3824', '761']"
3721,Shell Pink - Dark,161.0,75.0,81.0,a14b51,"['3858', '326', '3803', '3726', '3830', '355', '777', '221', '315', '3772']"
3722,Shell Pink - Medium,188.0,108.0,100.0,bc6c64,"['356', '3687', '3773', '407', '961', '316', '435', '3828', '3863', '3772']"
3726,Antique Mauve - Dark,155.0,91.0,102.0,9b5b66,"['3721', '3772', '3835', '3041', '611', '3860', '840', '3862', '3740', '451']"
3727,Antique Mauve - Light,219.0,169.0,178.0,dba9b2,"['3354', '3688', '778', '224', '3782', '842', '760', '3608', '554', '152']"
3731,Dusty Rose - Very Dark,218.0,103.0,131.0,da6783,"['961', '3328', '3687', '3832', '899', '351', '223', '335', '602', '3778']"
3733,Dusty Rose,232.0,135.0,155.0,e8879b,"['3833', '962', '3712', '893', '152', '956', '899', '3705', '352', '3806']"
3740,Antique Violet - Dark,120.0,87.0,98.0,785762,"['3860', '645', '315', '3790', '317', '535', '610', '3787', '552', '3834']"
3743,Antique Violet - Very Light,215.0,203.0,211.0,d7cbd3,"['453', '168', '415', '153', '644', '159', '3752', '3033', '211', '151']"
3746,Blue Violet - Dark,119.0,107.0,152.0,776b98,"['793', '208', '161', '3807', '3838', '931', '169', '3768', '3835', '3839']"
3747,Blue Violet - Very Light,211.0,215.0,237.0,d3d7ed,"['3841', '3753', '928', '775', '828', '211', '3752', '827', '415', '162']"
3750,Antique Blue - Very Dark,56.0,76.0,94.0,384c5e,"['791', '158', '844', '930', '311', '3799', '413', '336', '3808', '803']"
3752,Antique Blue - Very Light,199.0,209.0,219.0,c7d1db,"['159', '800', '415', '168', '157', '3325', '3743', '927', '504', '3747']"
3753,Antique Blue - Ultra Very Light,219.0,226.0,233.0,dbe2e9,"['928', '775', '3072', '3747', '3841', '162', '3024', '762', '828', '772']"
3755,Baby Blue,147.0,180.0,206.0,93b4ce,"['809', '598', '932', '156', '813', '519', '794', '993', '3766', '340']"
3756,Baby Blue - Light,238.0,252.0,252.0,eefcfc,"['747', 'White', '3865', 'B5200', '3866', '746', '712', '762', '162', '3024']"
3760,Wedgewood - Medium,62.0,133.0,162.0,3e85a2,"['825', '3810', '806', '518', '517', '3765', '3809', '3848', '943', '3812']"
3761,Sky Blue - Light,172.0,216.0,226.0,acd8e2,"['3325', '964', '3811', '827', '3766', '800', '3840', '813', '157', '341']"
3765,Peacock Blue - Very Dark,52.0,127.0,140.0,347f8c,"['517', '3809', '3812', '3850', '3847', '824', '943', '3760', '312', '798']"
3766,Peacock Blue - Light,153.0,207.0,217.0,99cfd9,"['813', '598', '3761', '964', '3840', '3755', '932', '3325', '341', '156']"
3768,Gray Green - Dark,101.0,127.0,127.0,657f7f,"['502', '3814', '3838', '3807', '317', '169', '3848', '931', '924', '991']"
3770,Tawny - Very Light,255.0,238.0,227.0,ffeee3,"['819', '948', '3713', '3823', '3866', '3865', '712', 'Ecru', '818', '746']"
3771,Peach - Dark,244.0,187.0,169.0,f4bba9,"['224', '760', '957', '3326', '776', '3825', '738', '3688', '758', '3716']"
3772,Desert Sand - Very Dark,160.0,108.0,80.0,a06c50,"['420', '611', '167', '840', '3862', '830', '3773', '3863', '3826', '435']"
3773,Desert Sand - Medium,182.0,117.0,82.0,b67552,"['435', '167', '407', '356', '3722', '976', '3772', '3863', '3828', '3826']"
3774,Desert Sand - Very Light,243.0,225.0,215.0,f3e1d7,"['543', 'Ecru', '818', '225', '967', '822', '948', '951', '963', '739']"
3776,Mahogany - Light,207.0,121.0,57.0,cf7939,"['976', '435', '922', '783', '436', '3826', '3773', '3852', '721', '356']"
3777,Terra Cotta - Very Dark,134.0,48.0,34.0,863022,"['902', '433', '918', '400', '3685', '3857', '355', '801', '221', '975']"
3778,Terra Cotta - Light,217.0,137.0,120.0,d98978,"['223', '962', '3064', '961', '3712', '422', '3859', '3328', '612', '722']"
3779,Terra Cotta - Ultra Very Light,248.0,202.0,200.0,f8cac8,"['761', '3824', '754', '3689', '605', '950', '3708', '353', '151', '945']"
3781,Mocha Brown - Dark,107.0,87.0,67.0,6b5743,"['839', '779', '3787', '610', '3051', '3802', '3362', '520', '838', '535']"
3782,Mocha Brown - Light,210.0,188.0,166.0,d2bca6,"['842', '613', '3046', '3864', '452', '524', '648', '3727', '778', '224']"
3787,Brown Gray - Dark,98.0,93.0,80.0,625d50,"['535', '3051', '413', '520', '3781', '3362', '839', '645', '779', '610']"
3790,Beige Gray - Ultra Dark,127.0,106.0,85.0,7f6a55,"['3860', '3862', '610', '829', '645', '640', '830', '3740', '520', '611']"
3799,Pewter Gray - Very Dark,66.0,66.0,66.0,424242,"['844', '3021', '986', '3031', '838', '3750', '791', '779', '413', '935']"
3801,Melon - Very Dark,231.0,73.0,103.0,e74967,"['602', '335', '3832', '891', '350', '351', '309', '3328', '3804', '600']"
3802,Antique Mauve - Very Dark,113.0,65.0,73.0,714149,"['779', '315', '3834', '3781', '839', '221', '838', '610', '3787', '3860']"
3803,Mauve - Dark,171.0,51.0,87.0,ab3357,"['326', '3831', '718', '3721', '3350', '777', '917', '600', '3858', '321']"
3804,Cyclamen Pink - Dark,224.0,40.0,118.0,e02876,"['601', '600', '309', '602', '3801', '3805', '3832', '3607', '335', '3350']"
3805,Cyclamen Pink,243.0,71.0,139.0,f3478b,"['602', '891', '335', '3801', '3832', '3731', '3804', '3607', '899', '3328']"
3806,Cyclamen Pink - Light,255.0,140.0,174.0,ff8cae,"['893', '352', '603', '956', '3733', '3833', '3326', '3705', '3608', '760']"
